match_id,home_team_id,away_team_id,date,home_team_goal,away_team_goal,home_team_build_up_play_speed,home_team_build_up_play_dribbling,home_team_build_up_play_passing,home_team_chance_creationg_passing,home_team_chance_creation_crossing,home_team_chance_creation_shooting,home_team_defence_pressure,home_team_defence_aggression,home_team_defence_team_width,away_team_build_up_play_speed,away_team_build_up_play_dribbling,away_team_build_up_play_passing,away_team_chance_creationg_passing,away_team_chance_creation_crossing,away_team_chance_creation_shooting,away_team_defence_pressure,away_team_defence_aggression,away_team_defence_team_width
665626,8635,8342,2010-02-03 00:00:00.000000,3,2,50,48.607361963190186,35,70,50,60,70,50,70,35,48.607361963190186,40,45,50,45,60,70,70
665630,9986,9985,2010-02-04 00:00:00.000000,2,3,40,48.607361963190186,50,45,43,60,70,70,70,53,48.607361963190186,40,55,55,65,70,70,65
665634,8203,9993,2010-02-02 00:00:00.000000,1,0,65,48.607361963190186,60,50,40,50,60,70,60,35,48.607361963190186,35,45,40,50,70,70,70
665665,8342,10001,2010-01-30 00:00:00.000000,2,1,35,48.607361963190186,40,45,50,45,60,70,70,45,48.607361963190186,60,40,45,55,70,70,70
665666,9985,8635,2010-01-17 00:00:00.000000,0,4,53,48.607361963190186,40,55,55,65,70,70,65,50,48.607361963190186,35,70,50,60,70,50,70
665667,9997,9994,2010-01-16 00:00:00.000000,2,1,50,48.607361963190186,50,50,50,50,50,50,50,60,48.607361963190186,60,50,40,50,65,65,70
665668,9986,9987,2010-01-16 00:00:00.000000,1,3,40,48.607361963190186,50,45,43,60,70,70,70,45,48.607361963190186,45,50,35,60,70,65,70
665669,9991,8571,2010-01-15 00:00:00.000000,2,2,70,48.607361963190186,65,60,50,60,45,50,40,50,48.607361963190186,60,50,50,50,60,60,65
665671,9999,8203,2010-01-16 00:00:00.000000,1,2,65,48.607361963190186,60,50,35,40,65,70,70,65,48.607361963190186,60,50,40,50,60,70,60
665672,9993,9984,2010-01-17 00:00:00.000000,1,4,35,48.607361963190186,35,45,40,50,70,70,70,45,48.607361963190186,35,70,45,55,65,60,70
665674,9987,8342,2010-01-24 00:00:00.000000,2,0,45,48.607361963190186,45,50,35,60,70,65,70,35,48.607361963190186,40,45,50,45,60,70,70
665675,10000,9997,2010-01-23 00:00:00.000000,2,0,65,48.607361963190186,60,60,40,50,70,60,70,50,48.607361963190186,50,50,50,50,50,50,50
665677,9984,9986,2010-02-24 00:00:00.000000,1,0,45,48.607361963190186,35,70,45,55,65,60,70,40,48.607361963190186,50,45,43,60,70,70,70
665679,9994,9999,2010-01-23 00:00:00.000000,1,4,60,48.607361963190186,60,50,40,50,65,65,70,65,48.607361963190186,60,50,35,40,65,70,70
665680,8571,9993,2010-01-23 00:00:00.000000,3,0,50,48.607361963190186,60,50,50,50,60,60,65,35,48.607361963190186,35,45,40,50,70,70,70
665681,8203,9985,2010-01-24 00:00:00.000000,0,0,65,48.607361963190186,60,50,40,50,60,70,60,53,48.607361963190186,40,55,55,65,70,70,65
665682,10001,9991,2010-01-23 00:00:00.000000,0,0,45,48.607361963190186,60,40,45,55,70,70,70,70,48.607361963190186,65,60,50,60,45,50,40
665686,9985,8571,2010-01-31 00:00:00.000000,3,1,53,48.607361963190186,40,55,55,65,70,70,65,50,48.607361963190186,60,50,50,50,60,60,65
665687,9997,10001,2010-02-03 00:00:00.000000,0,1,50,48.607361963190186,50,50,50,50,50,50,50,45,48.607361963190186,60,40,45,55,70,70,70
665688,9986,9994,2010-03-10 00:00:00.000000,4,1,40,48.607361963190186,50,45,43,60,70,70,70,60,48.607361963190186,60,50,40,50,65,65,70
665689,9991,10000,2010-01-31 00:00:00.000000,0,2,70,48.607361963190186,65,60,50,60,45,50,40,65,48.607361963190186,60,60,40,50,70,60,70
665692,8203,9984,2010-01-30 00:00:00.000000,1,2,65,48.607361963190186,60,50,40,50,60,70,60,45,48.607361963190186,35,70,45,55,65,60,70
665694,9999,9987,2010-02-24 00:00:00.000000,1,1,65,48.607361963190186,60,50,35,40,65,70,70,45,48.607361963190186,45,50,35,60,70,65,70
665695,9993,8635,2010-01-29 00:00:00.000000,0,5,35,48.607361963190186,35,45,40,50,70,70,70,50,48.607361963190186,35,70,50,60,70,50,70
665698,8635,9997,2010-02-06 00:00:00.000000,1,2,50,48.607361963190186,35,70,50,60,70,50,70,50,48.607361963190186,50,50,50,50,50,50,50
665699,9987,9985,2010-02-07 00:00:00.000000,1,0,45,48.607361963190186,45,50,35,60,70,65,70,53,48.607361963190186,40,55,55,65,70,70,65
665700,10000,8342,2010-02-07 00:00:00.000000,1,1,65,48.607361963190186,60,60,40,50,70,60,70,35,48.607361963190186,40,45,50,45,60,70,70
665702,9984,9999,2010-02-06 00:00:00.000000,2,0,45,48.607361963190186,35,70,45,55,65,60,70,65,48.607361963190186,60,50,35,40,65,70,70
